,Original Value,Amendment Value,Commodity Type,Country of Origin,Limited Tendering Reason,Exemption,Year,Entity,Entities Rule,Limited Tendering Rule,thresholds,Commodity Rule,Exemptions Rule,Estimated Trade Coverage,Commodity
518,18809.43,12853.09,Services,CA,00,00,2017,CRA,Unknown,Yes,No,Unknown,Yes,No,"Human Resources Support Services (HRSS): Organization and Classification, Staffing and Compensation"
525,11445.0,0.0,Construction,CA,00,00,2018,DND,Unknown,Yes,No,Unknown,Yes,No,"Construction Services, Not Elsewhere Specified"
527,158482.5,45200.0,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
533,97680.31,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"Automatic Data Processing Equipment, System Configuration"
540,31485.21,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
554,65300.0,20296.52,Services,CA,00,00,2017,CBSA,Unknown,Yes,No,Yes,Yes,No,Commercial Security Guard and Related Services
597,259362.12,65816.62,Services,CA,00,00,2017,CRA,Yes,Yes,Unknown,No,Yes,No,Budget Control Systems
628,11120.0,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Bakery and Cereal Products (replaced by gsin N8920Z)
633,506017.46,0.0,Services,CA,00,00,2017,DFO,Yes,Yes,Yes,No,Yes,No,Budget Control Systems
637,553029.75,276514.88,Services,CA,00,00,2018,CSC,Yes,Yes,Yes,No,Yes,No,Audio Tape Transcripts/Summary Services - Not Media Related
645,11298.36,0.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
650,34352.0,0.0,Services,CA,00,00,2018,ATSSC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
652,135233.12,181516.11,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
655,14096.75,0.0,Services,CA,85,00,2018,CSC,Yes,Unknown,No,Yes,Yes,No,Consulting Services
659,47250.0,21000.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
663,300015.0,175432.5,Services,CA,00,00,2017,CSC,Yes,Yes,Yes,No,Yes,No,Certification and Accreditation - Emergent Care Training
665,84075.47,160390.13,Services,CA,00,00,2017,ESDC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
672,19971.16,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
701,54240.0,54240.0,Services,CA,00,00,2018,ATSSC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
710,26250.0,0.0,Services,CA,00,00,2018,CBSA,Unknown,Yes,No,Unknown,Yes,No,Trash/Garbage Collection Services
713,37290.0,16950.0,Goods,CA,87,00,2018,CEO,Yes,Unknown,No,Yes,Yes,No,Office Supplies
721,156458.64,0.0,Goods,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Electric Arc Welding Equipment
731,28238.7,0.0,Services,CA,71,00,2018,StatCan,Unknown,Unknown,No,Yes,Yes,No,Database/Variable Imaging
738,101700.0,-15820.0,Services,CA,00,00,2017,CNSC,Yes,Yes,No,No,Yes,No,Communication Writing and Editing Services
771,136843.0,68421.5,Services,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,Internal and External Audits (Supply Arrangement PASS)
775,40643.66,0.0,Goods,CA,00,00,2019,CSC,Yes,Yes,No,Yes,Yes,No,Passenger Motor Vehicles
804,1371454.16,582887.29,Services,US,71,00,2017,ESDC,Yes,Unknown,Yes,No,Yes,No,Information Products
807,67800.0,212722.5,Services,CA,00,00,2018,CRA,Yes,Yes,No,No,Yes,No,Budget Control Systems
818,112700.55,45264.98,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
819,27359.1,0.0,Construction,CA,00,00,2018,DND,Unknown,Yes,No,Unknown,Yes,No,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
832,110175.0,110175.0,Services,CA,00,00,2017,GAC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
838,153205.04,205638.85,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
852,226000.0,344610.45,Services,CA,00,00,2017,CSC,Yes,Yes,Unknown,No,Yes,No,Language Training Services
859,11346.11,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"Meat, Poultry and Fish (replaced by gsin N8905Z)"
869,158482.5,30510.0,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
873,52109.95,0.0,Construction,CA,00,00,2017,DFO,Unknown,Yes,No,Unknown,Yes,No,"Prefabricated Constructions, Supply and Erection"
883,65300.0,12023.2,Services,CA,00,00,2018,CBSA,Unknown,Yes,No,Yes,Yes,No,Commercial Security Guard and Related Services
901,132210.0,-10723.7,Services,CA,00,00,2019,ATSSC,Yes,Yes,Unknown,No,Yes,No,Temporary Help Services - Professional and Technical
913,13202.91,0.0,Goods,CA,71,00,2018,CSC,Unknown,Unknown,No,Unknown,Yes,No,Chemicals
930,757450.0,0.0,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Interior Fit-Up/Renovations
933,12944.0,0.0,Construction,CA,00,00,2018,DND,Unknown,Yes,No,Unknown,Yes,No,"Engineering Works, Not Elsewhere Specified"
949,23165.16,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
956,157872.0,0.0,Services,CA,00,00,2019,DND,Yes,Yes,No,Yes,Yes,No,"Cleaning and Maintenance, Janitorial"
988,142634.25,191450.25,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
989,97038.72,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,"Pilot Training Services, Aircraft"
995,101955.26,89593.88,Services,CA,00,00,2019,DND,Yes,Yes,No,No,Yes,No,"Educational Services, N.E.S."
1001,97180.0,0.0,Services,CA,00,00,2018,CBSA,Yes,Yes,No,No,Yes,No,Budget Control Systems
1005,33900.0,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1010,61020.0,195829.0,Services,CA,00,00,2018,DFO,Yes,Yes,No,Yes,Yes,No,"Cleaning and Maintenance, Janitorial"
1013,11649.62,0.0,Goods,CA,00,00,2017,StatCan,Yes,Yes,No,Yes,Yes,No,Telephone and Telegraph Equipment
1017,47675.19,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"Antennas, Waveguides and Related Equipment - Repair and Overhaul"
1020,45539.0,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,ADP Software Maintenance - Other than Microcomputer
1030,4940.08,10868.17,Services,CA,00,00,2017,CRA,Unknown,Yes,No,Unknown,Yes,No,General Office Help
1036,90397.74,41825.82,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1071,28896.0,720.0,Services,CA,00,00,2019,CRA,Yes,Yes,No,Yes,Yes,No,Language Training Services
1079,31361.46,0.0,Goods,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,Trailers
1093,79712.76,0.0,Goods,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,"Vehicular Brake, Steering, Axle, Wheel and Track Components"
1156,32233.25,15588.35,Services,CA,00,00,2018,DFO,Yes,Yes,No,No,Yes,No,Wind Energy Systems (R&D)
1167,27594.0,6898.5,Services,CA,86,00,2019,CEO,Unknown,Unknown,No,Unknown,Yes,No,Consulting Services
1172,84963.42,11554.11,Goods,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"Radar Equipment, Except Airborne"
1179,116201.3,0.0,Services,CA,00,00,2019,CBSA,Yes,Yes,No,No,Yes,No,Office Furniture - Installation
1180,113000.0,107802.0,Services,CA,00,00,2017,OSFI,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1195,150000.0,0.0,Services,CA,71,00,2018,DND,Yes,Unknown,No,Yes,Yes,No,"Guns, 75MM Through 125MM - Repair"
1236,97326.9,-40110.47,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1244,300000.0,0.0,Construction,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,"Roofing, Siding and Sheet Metal Installation Services"
1260,144405.22,0.0,Services,CA,00,00,2019,DND,Yes,Yes,Yes,No,Yes,No,"Hotels, Motels and Commercial Accommodation"
1264,116344.8,51582.24,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1266,44925.63,4473.53,Goods,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Signs and Identification Plates
1285,141014.0,0.0,Goods,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Vehicular Furniture and Accessories
1307,12916.8,0.0,Goods,CA,00,00,2017,VAC,Yes,Yes,No,Yes,Yes,No,Stationery and Record Forms
1320,54135.96,0.0,Goods,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Vehicular Furniture and Accessories
1321,173336.31,0.0,Services,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,Consulting Services
1339,24021.49,18551.67,Construction,CA,00,00,2018,DND,Unknown,Yes,No,Unknown,Yes,No,Plumbing Contractor Services
1342,14212.36,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Bakery and Cereal Products (replaced by gsin N8920Z)
1352,14125.0,0.0,Services,CA,87,00,2019,CSC,Unknown,Unknown,No,Yes,Yes,No,Commercial Security Guard and Related Services
1377,13390.5,0.0,Services,CA,00,00,2017,VAC,Unknown,Yes,No,Yes,Yes,No,Advertising
1380,147719.25,0.0,Goods,CA,00,00,2017,PHAC,Yes,Yes,No,Yes,Yes,No,Drugs and Biologicals
1390,22346.03,0.0,Services,CA,85,00,2017,DND,Yes,Unknown,No,No,Yes,No,Internet Communication Services
1408,1918187.07,0.0,Services,CA,00,00,2017,ESDC,Yes,Yes,Yes,No,Yes,No,Storage and Warehousing
1415,20814.6,0.0,Goods,CA,00,00,2017,HC,Yes,Yes,No,Yes,Yes,No,Laboratory Equipment and Supplies
1416,23301.72,0.0,Goods,US,85,00,2017,GAC,Yes,Unknown,No,Yes,Yes,No,Glass Fabricated Materials
1424,14095.62,14617.68,Services,CA,00,00,2017,HC,Yes,Yes,No,No,Yes,No,MISCELLANEOUS COMMUNICATIONS EQUIPMENT - RENTAL
1432,110175.0,-15314.32,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1434,14831.25,0.0,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Consulting Services
1459,169931.6,0.0,Goods,CA,00,00,2019,CSC,Yes,Yes,No,Yes,Yes,No,Passenger Motor Vehicles
1470,30158.75,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,Landscaping and Horticultural Services
1471,24238.5,0.0,Services,CA,85,00,2018,CRCC,Yes,Unknown,No,Yes,Yes,No,Consulting Services
1493,122661.5,0.0,Services,CA,00,00,2018,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1495,6280.99,692.26,Services,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
1507,42658.56,0.0,Construction,CA,00,00,2018,CSC,Unknown,Yes,No,Unknown,Yes,No,Other Floor Laying and Wall Papering Work
1512,24943.62,0.0,Services,CA,85,00,2017,FCAC,Yes,Unknown,No,Unknown,Yes,No,Communications Security Equipment and Components - Repair
1527,101072.85,-18253.45,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1536,22600.0,3842.0,Services,CA,00,00,2017,OSFI,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1541,25843.1,0.0,Construction,CA,00,00,2017,DND,Unknown,Yes,No,Unknown,Yes,No,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
1550,55164.0,153115.92,Services,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"Cleaning and Maintenance, Janitorial"
1551,4347154.0,4426955.0,Services,CA,00,00,2018,GAC,Yes,Yes,Yes,No,Yes,No,Language Training Services
1555,153905.0,0.0,Goods,GB,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,Miscellaneous Communications Equipment
1586,118678.14,-15058.09,Services,CA,00,00,2019,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1590,19004.38,0.0,Goods,CA,00,00,2019,DND,Yes,Yes,No,Yes,Yes,No,Hose and Flexible Tubing
1591,158482.5,212722.5,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1597,63957.44,55385.82,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1642,294258.78,0.0,Services,CA,00,00,2017,DND,Yes,Yes,Unknown,No,Yes,No,Professional Services / Financial Analysis
1655,60012.0,211310.0,Services,CA,00,00,2018,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1663,10103.62,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Bakery and Cereal Products (replaced by gsin N8920Z)
1664,50511.0,-60364.6,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1677,9243.99,1076.38,Services,CA,00,00,2017,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
1680,24354.93,0.0,Goods,CA,05,00,2019,DND,Yes,Unknown,No,Yes,Yes,No,Recreational and Gymnastic Equipment
1686,25568.55,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Passenger Motor Vehicles
1700,165564.0,177981.3,Services,CA,86,00,2018,CEO,Yes,Unknown,No,Yes,Yes,No,Informatics Professional Services
1707,61938.0,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,Miscellaneous Engines and Components - Repair
1720,36499.0,0.0,Services,CA,00,00,2017,VAC,Unknown,Yes,No,Unknown,Yes,No,"Human Resources Support Services (HRSS): Organization and Classification, Staffing and Compensation"
1721,28697.76,0.0,Services,CA,71,00,2018,CSC,Yes,Unknown,No,Yes,Yes,No,Electrical Hardware and Supplies - Repair
1725,62892.9,-36472.11,Services,CA,00,00,2017,ESDC,Yes,Yes,No,Yes,Yes,No,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
1731,44741.92,16798.81,Services,CA,87,00,2018,CEO,Yes,Unknown,No,No,Yes,No,Budget Control Systems
1734,47324.4,51878.3,Services,CA,00,00,2017,DFO,Yes,Yes,No,Yes,Yes,No,"Cleaning and Maintenance, Janitorial"
1739,151767.01,117619.42,Services,CA,00,00,2017,ESDC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1758,41013.6,0.0,Construction,CA,00,00,2018,DND,Unknown,Yes,No,Unknown,Yes,No,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
1759,20044.74,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
1768,30914.54,17893.73,Services,CA,71,00,2018,CRA,Yes,Unknown,No,No,Yes,No,Information Products
1771,192038.0,192038.0,Services,CA,00,00,2019,CSC,Yes,Yes,Unknown,No,Yes,No,Technical / Vocational Training
1775,10620.69,0.0,Goods,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Space and Water Heating Equipment
1778,132210.0,0.0,Services,CA,00,00,2018,ATSSC,Yes,Yes,Unknown,No,Yes,No,General Office Help
1784,158482.5,212722.5,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1804,77122.5,0.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1813,404992.0,-31842.79,Services,CA,00,00,2017,CRA,Yes,Yes,Yes,No,Yes,No,Advertising
1825,147200.0,0.0,Services,CA,00,00,2019,DND,Yes,Yes,No,No,Yes,No,Snow Plowing and Removal
1835,25356.06,0.0,Services,CA,85,00,2019,DND,Yes,Unknown,No,No,Yes,No,Laundry and Dry Cleaning Services
1840,61020.0,0.0,Goods,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Physical Properties Testing Equipment
1857,20925.45,0.0,Services,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Services of Individuals - Except Consultants
1858,89000.0,39380.0,Services,CA,00,00,2018,CRCC,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1880,24091.2,0.0,Construction,CA,00,00,2018,CSC,Unknown,Yes,No,Unknown,Yes,No,Other Floor Laying and Wall Papering Work
1882,160219.88,53675.0,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1909,14395.5,0.0,Goods,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Miscellaneous Aircraft Accessories and Components
1916,160008.0,43002.15,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
1917,13298.97,0.0,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
1928,160971.99,0.0,Services,CA,00,00,2017,HC,Yes,Yes,No,Yes,Yes,No,"Furniture, Office-Refinishing and Repair"
1933,81642.5,-25933.5,Services,CA,00,00,2018,GAC,Yes,Yes,Unknown,No,Yes,No,Services of Individuals - Except Consultants
1940,17602.62,0.0,Services,CA,00,00,2018,StatCan,Unknown,Yes,No,Unknown,Yes,No,"PHONOGRAPHS, RADIOS AND TELEVISION SETS, HOME TYPE - LEASING"
1970,9375.0,15312.5,Services,CA,85,00,2019,CRCC,Yes,Unknown,No,Yes,Yes,No,Consulting Services
1977,56138.4,0.0,Services,CA,00,00,2018,VAC,Unknown,Yes,No,Yes,Yes,No,Media Relations
1990,5085.0,0.0,Construction,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
1999,52267.5,108180.85,Services,CA,00,00,2018,DFO,Yes,Yes,No,Yes,Yes,No,"Cleaning and Maintenance, Janitorial"
2008,16677.12,0.0,Services,CA,00,00,2018,CSC,Unknown,Yes,No,Unknown,Yes,No,"Construction Material, Miscellaneous - Repair"
2009,169053.29,10000.0,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
2027,336257.0,19449.14,Services,CA,00,00,2017,CBSA,Yes,Yes,Yes,No,Yes,No,Signage Design and Installation
2032,173745.98,-132759.75,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
2041,0.0,0.0,Services,CA,00,00,2019,DFO,Yes,Yes,No,No,Yes,No,Buoys - Repair
2043,355387.27,0.0,Services,US,00,00,2017,DND,Yes,Yes,Yes,No,Yes,No,Airborne Combat Support Training - Fighter and Trainer Aircraft only
2049,92981.69,124804.3,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
2071,74914.4,0.0,Services,CA,00,00,2018,DND,Yes,Yes,No,No,Yes,No,Ship and Boat Propulsion Components - Repair
2078,147778.58,52403.75,Services,CA,00,00,2017,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
2087,164076.0,106273.39,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
2090,81393.18,0.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,Yes,Yes,No,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
2104,11300.0,0.0,Services,CA,00,00,2019,CSC,Yes,Yes,No,Yes,Yes,No,Freight Elevators -repair
2105,11326.31,0.0,Goods,CA,71,00,2018,CSC,Yes,Unknown,No,Yes,Yes,No,"Hospital Furniture, Equipment, Utensils and Supplies"
2106,0.0,39550.0,Services,CA,00,00,2018,OSFI,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
2109,48437.72,0.0,Goods,CA,00,00,2017,CSC,Yes,Yes,No,Yes,Yes,No,"Automatic Data Processing Equipment, System Configuration"
2130,12224.17,0.0,Services,CA,00,00,2017,CSC,Yes,Yes,No,No,Yes,No,Services of Individuals - Except Consultants
2154,21889.23,0.0,Construction,CA,00,00,2017,CSC,Unknown,Yes,No,Unknown,Yes,No,Building Fire Protection Systems
2168,164076.01,164076.0,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
2173,19370.16,0.0,Goods,CA,00,00,2018,DND,Yes,Yes,No,Yes,Yes,No,Power and Hand Pumps
2206,12701.2,0.0,Services,CA,00,00,2017,DND,Yes,Yes,No,Yes,Yes,No,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS - LEASING
2210,344656.8,50851.11,Services,CA,00,00,2018,DND,Yes,Yes,Yes,No,Yes,No,Budget Control Systems
2220,72149.37,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Passenger Motor Vehicles
2227,85043.8,0.0,Services,CA,00,00,2017,StatCan,Yes,Yes,Unknown,No,Yes,No,"VEHICULAR COMPONENTS, MISCELLANEOUS - RENTAL"
2269,156200.0,-89270.0,Services,CA,00,00,2019,GAC,Yes,Yes,No,Yes,Yes,No,Consulting Services
2290,0.0,0.0,Goods,CA,00,00,2019,CRA,Yes,Yes,No,Yes,Yes,No,Computer Supplies
2306,225096.0,0.0,Services,CA,00,00,2019,TC,Yes,Yes,Unknown,No,Yes,No,"Health and Allied Services, Not Elsewhere Specified"
2313,153205.04,16112.47,Services,CA,00,00,2018,CRA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
2315,79326.0,0.0,Services,CA,00,00,2017,VAC,Yes,Yes,No,No,Yes,No,General Office Help
2329,39999.0,0.0,Goods,CA,00,00,2017,HC,Yes,Yes,No,Yes,Yes,No,Laboratory Equipment and Supplies
2338,16725.0,0.0,Goods,CA,00,00,2017,DND,Unknown,Yes,No,Unknown,Yes,No,Communications Security Equipment and Components
2346,10274.18,0.0,Goods,CA,00,00,2018,CSC,Yes,Yes,No,Yes,Yes,No,Bakery and Cereal Products (replaced by gsin N8920Z)
2358,18625.49,0.0,Goods,CA,00,00,2018,DND,Unknown,Yes,No,Unknown,Yes,No,"Vehicular Components, Miscellaneous"
2365,70625.0,38843.75,Services,CA,00,00,2017,CBSA,Yes,Yes,No,Yes,Yes,No,Informatics Professional Services
