Federal Entity,Abbreviation,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,CUFTA,WTO-AGP,CETA,CPTPP
Courts Administration Service 2,CAS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Canadian Heritage ,PCH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Citizenship & Immigration,IRCC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Employment and Social Development,ESDC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of the Environment,ECCC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Finance ,FIN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Fisheries and Oceans,DFO,Yes,Yes ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Department of Foreign Affairs, Trade and Development",GAC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Health ,HC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Indian Affairs and Northern Development,CIRNAC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Indigenous Services Canada,ISC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Industry,ISED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Justice,JUS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of National Defence,DND,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Natural Resources,NRCan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Public Safety and Emergency Preparedness,PS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Public Works and Government Services,PSPC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Transport,TC,Yes,Yes ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Veterans Affairs,VAC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department of Western Economic Diversification,WD,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Department for Women and Gender Equality,SWC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Economic Development Agency of Canada for the Regions of Quebec,CED,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Federal Economic Development Agency for Southern Ontario,FedDev Ontario,No,No,No,No,No,No,No,No,No,Yes,Yes
Financial Consumer Agency of Canada ,FCAC,No,No,No,No,No,No,No,No,No,Yes,Yes
Financial Transactions and Reports Analysis Centre of Canada,FINTRAC,No,No,No,No,No,No,No,No,No,No,No
Hazardous Materials Information Review Commission,HMIRC,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
Immigration and Refugee Board ,IRB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Invest in Canada Hub,N/A,No,No,No,No,No,No,No,No,No,No,No
Law Commission of Canada,N/A,No,No,No,No,No,No,No,No,No,No,No
Leaders' Debates Commission,N/A,No,No,No,No,No,No,No,No,No,No,No
Library and Archives of Canada,LAC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Military Grievances External Review Committee,MGERC,No,No,No,No,No,No,No,No,No,Yes ,Yes
Military Police Complaints Commission,MPCC,No,No,No,No,No,No,No,No,No,Yes,Yes
National Battlefields Commission,NBC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
National Energy Board,NEB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
National Farm Products Council,FPCC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
National Film Board ,NFB,No,No,No,No,No,No,No,No,No,Yes,Yes
National Research Council of Canada,NRC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Natural Sciences and Engineering Research Council,NSERC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Northern Pipeline Agency ,NPA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Office of the Auditor General,OAG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Office of the Chief Electoral Officer,CEO,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Office of the Commissioner for Federal Judicial Affairs ,FJA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Office of the Commissioner of Lobbying ,OCL,No,No,No,No,No,No,No,No,No,Yes,Yes
Office of the Commissioner of Official Languages,OCOL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Office of the Communications Security Establishment Commissioner ,OCSEC,No,No,No,No,No,No,No,No,No,Yes,No
Office of the Correctional Investigator of Canada,OCI,No,No,No,No,No,No,No,No,No,Yes,Yes
Office of the Director of Public Prosecutions,PPSC,No,No,No,No,No,No,No,No,No,Yes,Yes
Office of the Governor General's Secretary ,OSGG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Offices of the Information and Privacy Commissioners of Canada,OIC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Office of Infrastructure of Canada,INFC,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes
Office of the Public Sector Integrity Commissioner,PSIC,No,No,No,No,No,No,No,No,No,Yes,Yes
Office of the Superintendent of Financial Institutions ,OSFI,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Parks Canada Agency,PC ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Parole Board of Canada,PBC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Patented Medicine Prices Review Board,PMPRB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Privy Council Office ,PCO,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Public Health Agency of Canada ,PHAC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Public Service Commission,PSC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Registrar of the Supreme Court of Canada and that portion of the federal public administration appointed under subsection 12(2) of the Supreme Court Act,SCC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Royal Canadian Mounted Police ,RCMP,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Royal Canadian Mounted Police External Review Committee,ERC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Secretariat of the National Security and Intelligence Committee of Parliamentarians,NSICOP,No,No,No,No,No,No,No,No,No,No,No
Security Intelligence Review Committee,SIRC,No,No,No,No,No,No,No,No,No,Yes,Yes
Shared Services Canada ,SSC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Social Sciences and Humanities Research Council,SSHRC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Statistics Canada ,StatCan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Treasury Board,TBS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Veterans Review and Appeal Board ,VRAB,No,No,No,No,No,No,No,No,No,Yes,Yes
