,procurement_id,original_value,agreement_type_code,commodity_type_code,commodity_code,limited_tendering_reason_code,document_type_code,reporting_period,owner_org_title,abbreviation,Federal Entity,Abbreviation,NAFTA,CCFTA,CCoFTA,CHFTA,CPaFTA,CPFTA,CKFTA,CUFTA,WTO-AGP,CETA,CPTPP
366,3000668832,44121.0,CCFTA,Services,F006,71,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
375,3000670626,1247520.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
383,3000668324,155434.0,CCFTA,Services,K100,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
393,3000671176,519800.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
411,20180394A,4082219.57,CCFTA,Goods,6600,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
423,7200001703,146165.5,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
443,3000676312,499460.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
458,20190522A,637437.16,CCFTA,Goods,7030,87,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
468,7200001726,1440.41,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
485,3000678391,847500.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
506,3000679145,661050.0,CCFTA,Services,D302,00,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
523,3000678998,33551.7,CCFTA,Services,K100,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
541,20190841A,133008.76,CCFTA,Services,D317,71,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
551,20190853A,30543.67,CCFTA,Goods,7030,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
596,20190485A,209000.0,CCFTA,Goods,6600,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
642,20190559A,244329.0,CCFTA,Goods,6600,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
713,3000681448,143550.68,CCFTA,Goods,7110,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
722,3000681471,112350.0,CCFTA,Services,E107,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
760,3000682038,227671.9,CCFTA,Services,D317,71,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
777,3000681942,1130000.0,CCFTA,Services,D302,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
800,3000682033,1998970.0,CCFTA,Services,D302,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
844,3000682359,93691.13,CCFTA,Services,T000,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
877,20190627A,390000.0,CCFTA,Goods,2400,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
892,20190539A,216903.96,CCFTA,Goods,6600,71,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
902,20190622A,249559.41,CCFTA,Goods,6630,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
919,20190623A,135361.89,CCFTA,Goods,2450,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
937,20190429A,71292.9,CCFTA,Goods,6650,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
951,3000683071,111037.2,CCFTA,Goods,3720,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1005,201908732A,123285.84,CCFTA,Goods,6600,71,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1015,3000683097,117520.0,CCFTA,Services,D302,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1034,20190483A,108877.0,CCFTA,Goods,6640,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1099,20190621B,311514.44,CCFTA,Goods,6600,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1120,20190686B,1149708.35,CCFTA,Goods,6600,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1196,3000685919,40115.0,CCFTA,Services,K199,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1236,20190928A,137415.79,CCFTA,Goods,6640,71,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1245,3000685976,58432.5,CCFTA,Services,H300,71,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1256,3000685976,58432.5,CCFTA,Services,H300,71,Amendment,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1311,20191088A,225559.3,CCFTA,Services,D317,71,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1331,3000686711,27342.0,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1343,3000686725,70977.56,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1355,3000686743,51548.34,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1366,3000686747,49991.2,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1377,3000686749,52458.0,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1388,3000686751,115090.5,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1400,20190988A,121168.26,CCFTA,Services,JX70,71,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1410,3000686789,146391.5,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1432,3000686932,33380.2,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1444,3000686939,36467.36,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1456,3000686971,22600.0,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1468,3000686995,57912.5,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1485,3000687056,43448.5,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1496,3000687060,16441.5,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1514,3000687135,33900.0,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1526,3000687150,76275.0,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1542,3000687183,26625.79,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1571,3000687438,358707.2,CCFTA,Services,B109,00,Contract,2018,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1587,3000573809,93450.01,CCFTA,Services,R012,00,Amendment,2019,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1596,20140569A,10204973.5,CCFTA,Services,H300,00,Amendment,2019,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1607,3000586717,78688.8,CCFTA,Services,K100,00,Amendment,2019,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1616,3000615472,127045.8,CCFTA,Services,K100,00,Amendment,2019,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1625,20160252A,5032086.73,CCFTA,Services,H300,00,Amendment,2019,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1634,3000612816,132946.62,CCFTA,Services,K100,00,Amendment,2019,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1643,3000616340,414769.95,CCFTA,Services,K100,00,Amendment,2019,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,AAFC,Department of Agriculture and Agri-Food ,AAFC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
