,Original Value,Trade Agreement Code,Commodity Type,Country of Origin,Limited Tendering Reason,Exemption,Year,Entity,Entities Rule,Limited Tendering Rule,Thresholds Rule,Commodity Rule,Exemptions Rule,Commodity
353,53219.25,CFTA,Services,CA,0,0,2017,DND,Unknown,Yes,No,Unknown,Yes,Physical Properties Testing and Inspection Equipment - Repair and Overhaul
357,17999.95,NAFTA,Goods,CA,85,0,2017,GAC,Yes,Unknown,No,Yes,Yes,Office Furniture
370,11303.85,CETA,Services,CA,0,0,2018,DND,Yes,Yes,No,No,Yes,Diesel Engines and Components - Repair
373,26100.91,WTO-AGP,Goods,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,"Automatic Data Processing Equipment, System Configuration"
389,153205.04,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
419,24120.0,NAFTA,Goods,CA,20,0,2018,GAC,Yes,Unknown,No,Yes,Yes,Household Furniture
422,56880.79,NAFTA,Services,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,"Laboratory, Testing and Inspection Services, Except Medical/Dental"
431,21470.0,CETA,Services,CA,0,0,2018,ATSSC,Yes,Yes,No,Yes,Yes,Informatics Professional Services
453,23000.0,CFTA,Services,CA,0,0,2017,VAC,Unknown,Yes,No,Yes,Yes,Events Planning and Management
474,173336.31,WTO-AGP,Services,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Consulting Services
478,14749.34,CFTA,Services,CA,0,0,2018,DND,Unknown,Yes,No,Unknown,Yes,"Pressure, Temperature and Humidity Measuring and Controlling Instruments - Repair"
482,17938.75,WTO-AGP,Services,CA,0,0,2018,VAC,Yes,Yes,No,No,Yes,Meeting Facilitator Services
498,12502.48,NAFTA,Goods,CA,0,0,2018,VAC,Yes,Yes,No,Yes,Yes,Office Furniture
521,99793.13,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,No,Yes,Harassment (Investigative Services)
539,70364.7,WTO-AGP,Services,CA,86,0,2018,CEO,Yes,Unknown,No,Yes,Yes,Miscellaneous Business Services
544,61425.92,NAFTA,Construction,US,0,0,2017,GAC,Yes,Yes,No,Yes,Yes,"Building/Installation Special Trade Services, Not Elsewhere Specified"
551,30000.0,NAFTA,Services,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Other Engineering Studies
553,58127.44,WTO-AGP,Services,CA,85,0,2018,CEO,Yes,Unknown,No,No,Yes,Publications
561,1149864.62,WTO-AGP,Services,CA,0,0,2018,DND,Yes,Yes,Yes,No,Yes,"Product/Material - Design, Development, Formulation, Modification: Science and Technology Related (R&D)"
583,26218.5,CETA,Goods,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
592,40916.4,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
608,14762.79,WTO-AGP,Services,CA,71,0,2018,CSC,Yes,Unknown,No,Yes,Yes,Electrical Hardware and Supplies - Repair
619,72450.0,CFTA,Services,CA,0,0,2019,CSC,Unknown,Yes,No,Yes,Yes,Storage and Warehousing
629,12871.14,WTO-AGP,Goods,CA,0,0,2018,CGC,No,Yes,No,Yes,Yes,Outerwear
640,64386.2,CFTA,Services,CA,0,0,2017,CBSA,Unknown,Yes,No,Unknown,Yes,Courier Service
702,50393.54,NAFTA,Services,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,Trash/Garbage Collection Services
722,111870.0,WTO-AGP,Services,CA,0,0,2017,FIN,Yes,Yes,No,Yes,Yes,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
737,43700.0,CFTA,Services,CA,87,0,2019,CSC,Unknown,Unknown,No,Yes,Yes,Commercial Security Guard and Related Services
742,88141.25,WTO-AGP,Goods,CA,0,0,2017,CRCC,Yes,Yes,No,Yes,Yes,"Automatic Data Processing Equipment, System Configuration"
745,26937.0,CFTA,Construction,CA,0,0,2019,DND,Unknown,Yes,No,Unknown,Yes,Concrete Work
784,542500.0,WTO-AGP,Services,CA,71,0,2017,FCAC,No,Unknown,Yes,No,Yes,Budget Control Systems
791,22227.58,WTO-AGP,Goods,CA,0,0,2017,CRA,Yes,Yes,No,Yes,Yes,ADP Input-Output and Storage Devices
835,13147.81,CETA,Goods,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Teletype and Facsimile Equipment
856,15966.42,NAFTA,Goods,US,0,0,2018,GAC,Yes,Yes,No,Yes,Yes,ADP Software
926,10952.11,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
942,11282.25,CFTA,Services,CA,87,0,2019,CSC,Unknown,Unknown,No,Yes,Yes,Commercial Security Guard and Related Services
993,10925.0,WTO-AGP,Goods,CA,0,0,2017,VAC,Yes,Yes,No,Yes,Yes,ADP Software
1017,64760.53,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
1021,114800.82,NAFTA,Services,CA,0,0,2018,CNSC,Yes,Yes,Unknown,No,Yes,General Office Help
1057,14750.36,WTO-AGP,Services,CA,85,0,2019,CEO,Yes,Unknown,No,No,Yes,Services of Individuals - Except Consultants
1059,158482.5,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
1067,10916.48,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Bakery and Cereal Products (replaced by gsin N8920Z)
1080,13725.0,NAFTA,Services,CA,0,0,2018,GAC,Yes,Yes,No,Yes,Yes,Air Conditioning Equipment - Repair and Overhaul
1090,52759.7,NAFTA,Services,CA,0,0,2017,GAC,Yes,Yes,No,Yes,Yes,Informatics Professional Services
1091,136721.17,NAFTA,Goods,CA,0,0,2018,CGC,No,Yes,Yes,Yes,Yes,Laboratory Equipment and Supplies
1102,39550.0,CFTA,Services,CA,87,0,2019,CRA,Unknown,Unknown,No,Yes,Yes,Transcription of Live Events
1105,57582.65,WTO-AGP,Goods,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
1143,56500.0,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,No,Yes,Office Furniture - Installation
1148,1821345.3,WTO-AGP,Services,CA,0,0,2017,CSC,Yes,Yes,Yes,No,Yes,Asset Management  Plans (AMP)
1204,24943.62,CFTA,Services,CA,85,0,2017,FCAC,Yes,Unknown,No,Unknown,Yes,Communications Security Equipment and Components - Repair
1228,24887.4,CFTA,Construction,CA,0,0,2018,DND,Unknown,Yes,No,Unknown,Yes,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
1230,18363.21,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
1240,159500.63,WTO-AGP,Goods,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
1250,88987.5,WTO-AGP,Services,CA,0,0,2017,VAC,Yes,Yes,No,No,Yes,Technical Writing Services
1261,10600.47,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,No,Yes,Services of Individuals - Except Consultants
1275,234240.73,WTO-AGP,Goods,US,71,0,2018,CGC,No,Unknown,Unknown,Yes,Yes,Chemicals
1277,11554.25,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
1314,45777.94,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
1319,29364.62,WTO-AGP,Services,CA,71,0,2018,CSC,Yes,Unknown,No,Yes,Yes,Electrical Hardware and Supplies - Repair
1320,17823.93,CFTA,Services,CA,0,0,2017,CRA,Unknown,Yes,No,Yes,Yes,Publications
1329,10047.86,NAFTA,Services,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,"Pipes, Tubes, and Rigid Tubing - Repair"
1342,10575.86,NAFTA,Services,CA,0,0,2017,CSC,Yes,Yes,No,No,Yes,Services of Individuals - Except Consultants
1357,30090.0,CFTA,Services,CA,87,0,2019,CSC,Unknown,Unknown,No,Yes,Yes,Commercial Security Guard and Related Services
1359,11300.0,CFTA,Services,CA,0,0,2018,CSC,Unknown,Yes,No,Unknown,Yes,Services of Individuals - Except Consultants
1389,15368.0,WTO-AGP,Services,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Electrical Hardware and Supplies - Repair
1418,10500.0,CFTA,Services,CA,71,0,2018,DND,Unknown,Unknown,No,Unknown,Yes,Individual Equipment - Repair
1430,158482.5,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
1433,15487.4,NAFTA,Goods,CA,20,0,2018,GAC,Yes,Unknown,No,Yes,Yes,Household Furniture
1450,142902.73,WTO-AGP,Goods,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Aircraft Wheel and Brake Systems
1503,87438.49,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
1527,19489.57,NAFTA,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Refrigeration and Air Conditioning Components - Repair
1529,11768.9,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Bakery and Cereal Products (replaced by gsin N8920Z)
1549,12404.34,NAFTA,Services,US,87,0,2018,GAC,Yes,Unknown,No,Yes,Yes,Informatics Training
1553,26400.0,NAFTA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Language Training Services
1563,153205.04,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
1572,16128.18,NAFTA,Services,CA,0,0,2019,DND,Yes,Yes,No,No,Yes,Vehicular Furniture and Accessories - Repair
1598,25620.49,WTO-AGP,Goods,CA,71,0,2018,CRA,Yes,Unknown,No,Yes,Yes,ADP Software
1615,122661.5,WTO-AGP,Services,CA,0,0,2018,CBSA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
1623,56788.0,NAFTA,Services,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,"Connectors, Electrical - Repair"
1624,24860.0,WTO-AGP,Services,CA,85,0,2018,GAC,Yes,Unknown,No,Yes,Yes,Informatics Professional Services
1625,27359.1,CFTA,Construction,CA,0,0,2018,DND,Unknown,Yes,No,Unknown,Yes,"Heating, Ventilation and Air Conditioning Maintenance & Inspection Services"
1645,19825.14,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"Hardware, Commercial"
1651,1603566.05,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,Yes,No,Yes,"Transportation Services, Not Elsewhere Specified"
1711,11152.58,CFTA,Services,CA,0,0,2018,CSC,Unknown,Yes,No,Unknown,Yes,Services of Individuals - Except Consultants
1728,36141.4,CETA,Services,CA,71,0,2018,DND,Yes,Unknown,No,No,Yes,FIREFIGHTING EQUIPMENT - RENTAL
1743,15485.78,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"Automatic Data Processing Equipment, System Configuration"
1744,14831.25,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Consulting Services
1753,39324.0,NAFTA,Services,CA,0,0,2017,DND,Yes,Yes,No,No,Yes,Temporary Help Services - Professional and Technical
1756,20700.0,CFTA,Services,CA,0,0,2018,CBSA,Unknown,Yes,No,Unknown,Yes,Harassment (Investigative Services)
1786,46814.25,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
1821,24812.54,NAFTA,Services,HT,85,0,2017,GAC,Yes,Unknown,No,No,Yes,Services of Individuals - Except Consultants
1873,20848.5,WTO-AGP,Services,CA,0,0,2017,GAC,Yes,Yes,No,Yes,Yes,Informatics Professional Services
1878,20630.07,WTO-AGP,Goods,CA,0,0,2017,CSC,Yes,Yes,No,Yes,Yes,"Automatic Data Processing Equipment, System Configuration"
1888,71087.34,NAFTA,Services,US,0,0,2018,DND,Yes,Yes,No,No,Yes,"Hotels, Motels and Commercial Accommodation"
1894,198285.89,WTO-AGP,Services,CA,0,0,2019,DND,Yes,Yes,Unknown,No,Yes,Budget Control Systems
1923,32790.79,WTO-AGP,Goods,CA,0,0,2017,CRA,Yes,Yes,No,Yes,Yes,ADP Input-Output and Storage Devices
1928,28142.65,WTO-AGP,Services,CA,71,0,2018,CRCC,Yes,Unknown,No,Yes,Yes,MISCELLANEOUS ITEMS - LEASING
1938,12875.62,CFTA,Goods,CA,71,0,2017,CGC,Yes,Unknown,No,Unknown,Yes,Laboratory Equipment and Supplies
1965,17936.32,NAFTA,Services,CA,0,0,2018,CBSA,Yes,Yes,No,Yes,Yes,Office Furniture - Installation
1997,149765.05,WTO-AGP,Services,CA,0,0,2017,GAC,Yes,Yes,No,No,Yes,Grounds Maintenance
2007,41391.34,WTO-AGP,Goods,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
2018,574875.0,NAFTA,Services,CA,0,0,2018,CSC,Yes,Yes,Yes,No,Yes,"TRUCKS AND TRUCK TRACTORS, WHEELED - RENTAL"
2025,18844.06,NAFTA,Goods,CA,0,0,2018,VAC,Yes,Yes,No,Yes,Yes,Office Furniture
2029,91599.39,WTO-AGP,Goods,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Office Supplies
2088,15204.2,WTO-AGP,Goods,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,ADP Input-Output and Storage Devices
2092,51971.43,NAFTA,Services,CA,0,0,2018,CBSA,Yes,Yes,No,Yes,Yes,ADP Software Maintenance - Other than Microcomputer
2125,17673.2,CFTA,Services,CA,87,0,2018,CRA,Unknown,Unknown,No,Yes,Yes,Press Service
2150,158442.4,CETA,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Gardening Implements and Tools
2154,31098.17,WTO-AGP,Goods,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
2173,14933.83,WTO-AGP,Services,CA,85,0,2019,CSC,Yes,Unknown,No,Yes,Yes,Consulting Services
2182,33135.33,WTO-AGP,Goods,CA,0,0,2017,CRA,Yes,Yes,No,Yes,Yes,ADP Input-Output and Storage Devices
2198,85000.0,NAFTA,Construction,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,"Highways, Roads, Railways,  Airfield Runways"
2211,11298.62,WTO-AGP,Goods,CA,0,0,2018,CBSA,Yes,Yes,No,Yes,Yes,Office Furniture
2270,15936.0,NAFTA,Services,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Hazardous Chemicals Removal
2273,37476.2,WTO-AGP,Services,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Construction Inspection Services
2310,65159.35,NAFTA,Services,US,0,0,2018,DND,Yes,Yes,No,No,Yes,Passenger Motor Vehicles - Repair
2320,11479.1,WTO-AGP,Goods,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,Chemicals
2321,39170.0,WTO-AGP,Goods,CA,0,0,2017,HC,Yes,Yes,No,Yes,Yes,Laboratory Equipment and Supplies
2340,20129.19,NAFTA,Services,CA,0,0,2018,CSC,Yes,Yes,No,No,Yes,Services of Individuals - Except Consultants
2357,16635.28,CFTA,Goods,CA,0,0,2018,VAC,Unknown,Yes,No,Unknown,Yes,Video Recording and Reproduction Equipment
2362,23316.93,WTO-AGP,Goods,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"Cabinets, Lockers, Bins and Shelving"
2372,178540.0,NAFTA,Services,CA,0,0,2017,PCO,Yes,Yes,Yes,No,Yes,Public Opinion Research - Syndicated Studies
2399,15758.4,NAFTA,Services,CU,85,0,2017,GAC,Yes,Unknown,No,No,Yes,Commercial Security Guard and Related Services
2401,20000.01,WTO-AGP,Services,CA,0,0,2018,OSFI,Yes,Yes,No,Yes,Yes,Informatics Professional Services
2404,19435.64,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,Hazardous Chemicals Removal
2407,101700.0,WTO-AGP,Services,CA,74,0,2018,CEO,Yes,Unknown,No,No,Yes,Media Monitoring Services
2436,24860.0,WTO-AGP,Services,CA,23,0,2018,CRCC,Yes,Unknown,No,Yes,Yes,Consulting Services
2448,34246.23,WTO-AGP,Goods,CA,0,0,2017,CRA,Yes,Yes,No,Yes,Yes,Passenger Motor Vehicles
2459,11073.3,WTO-AGP,Services,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
2477,275041.5,WTO-AGP,Services,CA,87,0,2019,CEO,Yes,Unknown,Unknown,No,Yes,Media Relations
2481,147200.0,WTO-AGP,Services,CA,0,0,2019,DND,Yes,Yes,No,No,Yes,Snow Plowing and Removal
2484,741175.0,WTO-AGP,Services,CA,0,0,2018,DND,Yes,Yes,Yes,No,Yes,"Shipboard Machinery & Equipment -Repair, Overhaul, Modification, Maintenance & Calibration"
2522,74130.12,WTO-AGP,Services,CA,0,0,2018,CBSA,Yes,Yes,No,No,Yes,Harassment (Investigative Services)
2545,257012.85,WTO-AGP,Services,CA,0,0,2018,CBSA,Yes,Yes,Unknown,No,Yes,"Forms, Continuous"
2566,24725.0,NAFTA,Services,CA,85,0,2018,TC,Yes,Unknown,No,Yes,Yes,"Technical Engineering and Maintenance Services (TEMS) (Excludes requirements related to armament, R&D and R&O)"
2576,65648.48,WTO-AGP,Services,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,"Human Resource Services, Business Consulting/Change Management; Project Management Services"
2626,39267.5,WTO-AGP,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Miscellaneous Electrical and Electronic Components
2627,148905.75,CETA,Services,CA,0,0,2018,CRA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
2672,39700.0,NAFTA,Services,CA,71,0,2017,StatCan,Yes,Unknown,No,No,Yes,"Information Retrieval Services, Database"
2674,114031.13,WTO-AGP,Services,CA,0,0,2018,CAS,Yes,Yes,No,Yes,Yes,Informatics Professional Services
2675,25425.0,NAFTA,Services,CA,0,0,2019,SSHRC,Yes,Yes,No,No,Yes,Communication Writing and Editing Services
2699,68860.0,CFTA,Construction,CA,0,0,2019,DND,Unknown,Yes,No,Unknown,Yes,Electrical Installations and Major Repairs
2716,212471.7,WTO-AGP,Construction,CA,0,0,2017,DFO,Yes,Yes,No,Yes,Yes,"Prefabricated Constructions, Supply and Erection"
2742,22521.75,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,No,Yes,Harassment (Investigative Services)
2762,39446.58,WTO-AGP,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Bombs
2764,165564.0,WTO-AGP,Services,CA,0,0,2018,DND,Yes,Yes,No,No,Yes,"Educational Services, N.E.S."
2778,97450865.45,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,Yes,No,Yes,Operation and Maintenance Services of a Technical/Scientific Facility
2780,20415.86,WTO-AGP,Goods,CA,0,0,2018,VAC,Yes,Yes,No,Yes,Yes,ADP Software
2796,34122.38,CFTA,Services,CA,0,0,2018,CRA,Unknown,Yes,No,Unknown,Yes,General Office Help
2803,14371.88,NAFTA,Goods,CA,0,0,2018,DND,Yes,Yes,No,Yes,Yes,Commercial and Industrial Gas Cylinders
2855,377087.44,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,Yes,No,Yes,Signage Design and Installation
2860,11353.78,CFTA,Services,CA,0,0,2017,CSC,Unknown,Yes,No,Unknown,Yes,Services of Individuals - Except Consultants
2862,155940.0,CETA,Services,CA,0,0,2018,DND,Yes,Yes,No,No,Yes,"Pilot Training Services, Aircraft"
2869,2708811.0,WTO-AGP,Services,CA,0,0,2017,GAC,Yes,Yes,Yes,No,Yes,Communications Services
2883,25831.44,CFTA,Services,CA,71,0,2018,DND,Unknown,Unknown,No,Unknown,Yes,Informatics Professional Services
2887,166500.0,NAFTA,Services,CA,0,0,2018,DND,Yes,Yes,Yes,No,Yes,"Product/Material - Design, Development, Formulation, Modification: Science and Technology Related (R&D)"
2900,10018.35,WTO-AGP,Services,CA,0,0,2019,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
2924,13314.57,CFTA,Goods,CA,0,0,2019,CSC,Unknown,Yes,No,Unknown,Yes,Office Furniture
2933,14824.81,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"PRINTING, DUPLICATING AND BOOKBINDING EQUIPMENT, LEASING"
2935,109048.1,NAFTA,Construction,FR,0,0,2017,GAC,Yes,Yes,No,Yes,Yes,Other Special Trade Construction Work
2947,55340.12,WTO-AGP,Services,CA,0,0,2017,CNSC,Yes,Yes,No,No,Yes,Technical / Vocational Training
2959,26889.66,NAFTA,Services,CL,85,0,2018,GAC,Yes,Unknown,No,Yes,Yes,Food Catering Services
2960,27346.0,WTO-AGP,Services,CA,0,0,2018,CBSA,Yes,Yes,No,Yes,Yes,ADP Software Maintenance - Other than Microcomputer
2963,19418.1,NAFTA,Services,US,85,0,2017,GAC,Yes,Unknown,No,No,Yes,Communication Project Management Services
2967,0.0,WTO-AGP,Services,CA,0,0,2017,CRA,Yes,Yes,No,Yes,Yes,"Human Resources Support Services (HRSS): Organization and Classification, Staffing and Compensation"
2994,192100.0,NAFTA,Services,CA,0,0,2019,IRB,Yes,Yes,Yes,No,Yes,Transcription Services
3010,13302.6,CFTA,Goods,US,85,1,2019,DND,Unknown,Unknown,No,Unknown,Unknown,Ship and Marine Miscellaneous Equipment
3016,26569.0,NAFTA,Services,US,71,0,2018,DND,Yes,Unknown,No,No,Yes,"Maintenance, Repair, Modification, Rebuilding & Installation of Equipment related to Ships"
3031,110548.46,NAFTA,Services,CA,0,0,2017,DFO,Yes,Yes,Unknown,No,Yes,Buoys - Repair
3042,23119.8,WTO-AGP,Services,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,Informatics Professional Services
3058,86254.37,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,Yes,Yes,"Medical and Surgical Instruments, Equipment and Supplies - Repair"
3086,16189.1,CFTA,Services,CA,0,0,2018,DND,Unknown,Yes,No,Unknown,Yes,"Liquid and Gas Flow, Liquid Level and Mechanical Motion Measuring Instruments - Repair"
3087,23430.47,CFTA,Services,CA,0,0,2018,CRA,Unknown,Yes,No,Yes,Yes,Printing of Envelopes
3102,17200.0,WTO-AGP,Services,CA,0,0,2018,CSC,Yes,Yes,No,No,Yes,Services of Individuals - Except Consultants
3116,50172.0,NAFTA,Services,CA,0,0,2017,DND,Yes,Yes,No,Yes,Yes,Informatics Professional Services
3121,67205.39,WTO-AGP,Services,CA,0,0,2019,GAC,Yes,Yes,No,Yes,Yes,Duplicating Equipment - Repair and Overhaul
3130,75691.62,WTO-AGP,Goods,CA,0,0,2018,VAC,Yes,Yes,No,Yes,Yes,"Automatic Data Processing Equipment, System Configuration"
3135,27414.3,WTO-AGP,Services,CA,0,0,2018,CRA,Yes,Yes,No,No,Yes,Harassment (Investigative Services)
3141,36272.09,WTO-AGP,Goods,CA,0,0,2017,CBSA,Yes,Yes,No,Yes,Yes,"Automatic Data Processing Equipment, System Configuration"
3150,23259.44,WTO-AGP,Goods,CA,87,0,2018,CEO,Yes,Unknown,No,Yes,Yes,ADP Support Equipment
3151,36901.69,CFTA,Services,CA,0,0,2017,CRA,Unknown,Yes,No,Yes,Yes,Printing of Envelopes
3153,40388.0,CFTA,Services,CA,0,0,2017,VAC,Unknown,Yes,No,Yes,Yes,Commercial Security Guard and Related Services
3166,30058.0,WTO-AGP,Services,CA,0,0,2019,CSC,Yes,Yes,No,No,Yes,Harassment (Investigative Services)
3177,149992.4,NAFTA,Services,CA,0,0,2017,GAC,Yes,Yes,Yes,No,Yes,Miscellaneous Communications Services
3178,10058.53,NAFTA,Construction,EC,87,0,2017,GAC,Yes,Unknown,No,Yes,Yes,Painting Work
